epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,42.6873,0.65026,0.57621,1.00766,0.99493,1,0.995,0.88919,0.50832,0.3822,0.97882,0.0002774,0.0002774,0.0002774
89,43.1257,0.66428,0.56103,1.01022,0.995,1,0.995,0.90202,0.50015,0.37365,0.97976,0.0002576,0.0002576,0.0002576
90,43.5824,0.78569,0.57797,0.99595,0.99504,1,0.995,0.89961,0.48889,0.37057,0.97832,0.0002378,0.0002378,0.0002378
91,44.558,0.50491,0.54947,0.96943,0.9949,1,0.995,0.89636,0.48291,0.36557,0.97849,0.000218,0.000218,0.000218
92,44.9992,0.58976,0.61673,0.97945,0.9947,1,0.995,0.89636,0.47162,0.36908,0.97523,0.0001982,0.0001982,0.0001982
93,45.4296,0.44839,0.52593,0.98997,0.99479,1,0.995,0.90058,0.46997,0.38721,0.97667,0.0001784,0.0001784,0.0001784
94,45.8873,0.51776,0.52063,0.89738,0.99472,1,0.995,0.90655,0.47351,0.40026,0.9751,0.0001586,0.0001586,0.0001586
95,46.3205,0.47679,0.51851,0.91107,0.99467,1,0.995,0.92023,0.45927,0.40279,0.96786,0.0001388,0.0001388,0.0001388
96,46.8183,0.61395,0.53019,0.9496,0.99466,1,0.995,0.93641,0.45351,0.40343,0.9645,0.000119,0.000119,0.000119
97,47.364,0.55646,0.57277,1.00708,0.9947,1,0.995,0.94625,0.44505,0.40886,0.96136,9.92e-05,9.92e-05,9.92e-05
98,47.863,0.51862,0.5071,0.92821,0.99472,1,0.995,0.94625,0.43908,0.399,0.95919,7.94e-05,7.94e-05,7.94e-05
99,48.3719,0.42656,0.49798,0.93812,0.99476,1,0.995,0.90735,0.43946,0.3882,0.95918,5.96e-05,5.96e-05,5.96e-05
100,48.801,0.50087,0.53159,0.95611,0.99481,1,0.995,0.90559,0.44063,0.38516,0.95943,3.98e-05,3.98e-05,3.98e-05
